"","Name","Alter Ego","Occupation","Marital Status","Known Relatives","Group Affiliation","Base of Operations","Height","Weight","Hair","Eyes","First Appearance"
"1","Superman (Earth-1)","Clark Kent","Newspaper Reporter","Single","Jor-El (father, deceased), Lara (mother, deceased), Kara Zor-El (cousin, deceased), Zor-El (uncle), Allura (aunt), Jonathan and Martha Kent (adoptive parents, deceased)","Justice League of America","Metropolis","6 ft. 3 in.","225 lbs.","Black","Blue","Superman #46"
"2","Superman (Earth-2)","Clark Kent","Newspaper Reporter, later Editor","Married","Jor-L (father, deceased), Lora (mother, deceased), Jon Kent (adoptive father, deceased), Mary Kent (adoptive mother, deceased), Lois Lane Kent (wife), Lucille Lane Tompkins (sister-in-law), George Tompkins (brother-in-law), Susan Tompkins (niece)","All-Star Squadron, Justice Society of America","Metropolis","6 ft. 2 in.","222 lbs.","Black","Blue","Action Comics #1"
"3","Slam Bradley (Earth-1)","None","Private Investigator","Single","None","None","Cleveland, Ohio, later New York City","6 ft.","182 lbs.","Black","Blue","Detective Comics #1"
"4","Doctor Occult (Earth-2)","Unknown","Private Investigator","Single","None","None","An unidentified American city","6 ft. 1 in.","189 lbs.","Black","Gray","New Fun #6"
"5","Batman (Earth-2)","Bruce Wayne","Initially Millionaire Playboy, later Gotham City Police Commissioner","Widowed","Thomas and Martha Wayne (parents, deceased), Phillip Wayne (uncle, deceased), Selina Kyle Wayne (wife, deceased), Helena Wayne (daughter, deceased), Karl Kyle (brother-in-law)","Justice Society of America, All-Star Squadron","Gotham City","6 ft. 2 in.","210 lbs.","Black","Blue","Detective Comics #27"
"6","Flash (Earth-2)","Jay Garrick","Research Scientist, Director of Keystone Research Laboratories, Inc.","Married","Joan (wife), Major Williams (father-in-law, presumably now deceased)","Justice Society of America, All-Star Squadron","Keystone City","5 ft. 11 in.","179 lbs.","Brown w/white temples","Blue","Flash Comics #1"
"7","Air Wave (Earth-2)","Lawrence (Larry) Jordan","District Attorney","Married","Helen (wife), Hal (son), Jim (cousin), Jack (cousin), Hal (cousin), Jason (cousin), Jennifer (cousin), Jeremiah (uncle), Titus Thomas Jordan (uncle)","All-Star Squadron","New York","5 ft. 10 in.","175 lbs.","Brown","Brown","Detective Comics #60"
"8","Crimson Avenger (Earth-2)","Lee Travis","Newspaper Publisher","Single","None","All-Star Squadron, Seven Soldiers of Victory","New York City","6 ft.","189 lbs.","Brown","Brown","Detective Comics #20"
"9","Alfred Beagle (Earth-2)","None","Butler","Single","Jarvis Beagle (father, deceased)","None","Gotham City","6 ft.","160 lbs.","Black","Blue","Batman #16"
"10","Robin (Earth-2)","Richard Grayson","Former Aerialist and Student, later Ambassador and Lawyer","Single","John Grayson (father, deceased), Mary Grayson (mother, deceased), George Grayson (uncle, presumed deceased), Charles Grayson (cousin)","All-Star Squadron, Justice Society of America","Gotham City","6 ft.","187 lbs.","Black","Blue","Detective Comics #38"
"11","Aquaman (Earth-2)","Arthur Curry","Adventurer","Single","Tom Curry (father, deceased)","All-Star Squadron","Mobile","6 ft. 1 in.","325 lbs.","Blond","Blue","More Fun Comics #73"
"12","Lois Lane (Earth-2)","None","Reporter","Married","Kal-L (husband), Susie Tompkins (niece)","None","Metropolis","5 ft. 7 in.","122 lbs.","Black","Blue","Action Comics #1"
"13","Flash (Earth-1)","Barry Allen","Former Police Scientist","Married","Iris (wife), Henry (father), Nora (mother), Eric Russell (father-in-law), Fran Russell (mother-in-law), Prof. Ira West (stepfather-in-law), Wallace West (nephew)","Justice League of America","Central City","5 ft. 11 in.","179 lbs.","Blond","Blue","Showcase #4"
"14","Atom (Earth-2)","Al Pratt","Professor of Nuclear Physics","Married","Mary (wife), Nuklon (godson)","Justice Society of America, All-Star Squadron","Calvin College, Earth-2","5 ft. 1 in.","150 lbs.","Red","Blue","All-American Comics #19"
"15","Black Canary (Earth-2)","Dinah Drake Lance","Florist","Married","Richard Drake (father, deceased), Larry Lance (husband, deceased), Dinah Laurel Lance (daughter)","Justice Society of America","Gotham City","5 ft. 5 in.","126 lbs.","Blond","Blue","Flash Comics #86"
"16","King Faraday (Earth-1)","I -- Spy","Government Agent","Single","None","Classified","Mobile","6 ft.","180 lbs.","White","Blue","Danger Trail #1"
"17","Adam Strange (Earth-1)","None","Archaeologist","Married","Alanna (wife), Sardath (father-in-law)","None","Ranagar, city on Rann, third planet of Alpha Centauri","6 ft.","175 lbs.","Blond","Blue","Showcase #17"
"18","Blackhawk (Earth-1)","Bart Hawk","Leader of the paramilitary organization called the Blackhawks","Single","Jack (brother, deceased), Connie (sister, deceased)","The Blackhawks","Blackhawk Island, location classified","6 ft. 1 in.","195 lbs.","Black","Blue","Blackhawk #108"
"19","Animal Man (Earth-1)","Buddy Baker","Movie Stunt Man","Married","Ellen Frazier (wife), Cliff and Maxine (children)","The Forgotten Heroes","The Grand Canyon","5 ft. 11 in.","178 lbs.","Blond","Blue","Strange Adventures #180"
